clean_answer,varnum,clean_answer_binned,abbr,Group,clean_group,ES,ESdescription,Title,FirstAuthor,SourcePublication,PublicationYear
burn severity,8,Extreme events,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",From the stand scale to the landscape scale: predicting the spatial patterns of forest regeneration after disturbance,Shive,ECOLOGICAL APPLICATIONS,2018
time postfire,9,Timing/seasonality,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",From the stand scale to the landscape scale: predicting the spatial patterns of forest regeneration after disturbance,Shive,ECOLOGICAL APPLICATIONS,2018
Climate,1,Climate,Driver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Linking environmental variables with regional-scale variability in ecological structure and standing stock of carbon within UK kelp forests,Smale,MARINE ECOLOGY PROGRESS SERIES,2016
wave fetch,2,Abiotic characteristics of the landscape: aquatic,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Linking environmental variables with regional-scale variability in ecological structure and standing stock of carbon within UK kelp forests,Smale,MARINE ECOLOGY PROGRESS SERIES,2016
waves,3,Abiotic characteristics of the landscape: aquatic,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Linking environmental variables with regional-scale variability in ecological structure and standing stock of carbon within UK kelp forests,Smale,MARINE ECOLOGY PROGRESS SERIES,2016
tides,4,Abiotic characteristics of the landscape: aquatic,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Linking environmental variables with regional-scale variability in ecological structure and standing stock of carbon within UK kelp forests,Smale,MARINE ECOLOGY PROGRESS SERIES,2016
daytime light,5,Abiotic characteristics of the landscape: aquatic,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Linking environmental variables with regional-scale variability in ecological structure and standing stock of carbon within UK kelp forests,Smale,MARINE ECOLOGY PROGRESS SERIES,2016
summer max temp,6,Climate,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Linking environmental variables with regional-scale variability in ecological structure and standing stock of carbon within UK kelp forests,Smale,MARINE ECOLOGY PROGRESS SERIES,2016
Climate,1,Climate,Driver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Mammal diversity influences the carbon cycle through trophic interactions in the Amazon,Sobral,NATURE ECOLOGY & EVOLUTION,2017
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Mammal diversity influences the carbon cycle through trophic interactions in the Amazon,Sobral,NATURE ECOLOGY & EVOLUTION,2017
riparian canopy,1,Biotic characteristics of the plot,OtherDriver,Biotic,Biotic,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]","Riparian canopy expansion in an urban landscape: Multiple drivers of vegetation change along headwater streams near Sacramento, California",Solins,LANDSCAPE AND URBAN PLANNING,2018
urbanization,1,Land use and land cover change,OtherDriver,Human,Human,HabCreate,Habitat creation and maintenance,"Riparian canopy expansion in an urban landscape: Multiple drivers of vegetation change along headwater streams near Sacramento, California",Solins,LANDSCAPE AND URBAN PLANNING,2018
Land use change,1,Land use and land cover change,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Terrestrial isopods as bioindicators for environmental monitoring in olive groves and natural ecosystems,Solomou,JOURNAL OF NATURAL HISTORY,2019
Management Practices,2,Management/restoration,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Terrestrial isopods as bioindicators for environmental monitoring in olive groves and natural ecosystems,Solomou,JOURNAL OF NATURAL HISTORY,2019
different olive grove types could be considered land use or management type (organic; conventional; abandoned; natural areas),3,Management/restoration,OtherDriver,Environmental,Human,HabCreate,Habitat creation and maintenance,Terrestrial isopods as bioindicators for environmental monitoring in olive groves and natural ecosystems,Solomou,JOURNAL OF NATURAL HISTORY,2019
Climate,1,Climate,Driver,Environmental,Environmental,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Context-dependent effects of freshwater mussels on stream benthic communities,Spooner,FRESHWATER BIOLOGY,2006
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Context-dependent effects of freshwater mussels on stream benthic communities,Spooner,FRESHWATER BIOLOGY,2006
freshwater mussels,3,Service provider abundance,OtherDriver,Biotic,Biotic,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Context-dependent effects of freshwater mussels on stream benthic communities,Spooner,FRESHWATER BIOLOGY,2006
Climate,1,Climate,Driver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Context-dependent effects of freshwater mussels on stream benthic communities,Spooner,FRESHWATER BIOLOGY,2006
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Context-dependent effects of freshwater mussels on stream benthic communities,Spooner,FRESHWATER BIOLOGY,2006
freshwater mussels,3,Service provider abundance,OtherDriver,Biotic,Biotic,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Context-dependent effects of freshwater mussels on stream benthic communities,Spooner,FRESHWATER BIOLOGY,2006
Management Practices,1,Management/restoration,Driver,Human,Human,AQReg,"Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",Quantification of the potential impact of nature conservation on ecosystem services supply in the Flemish Region: A cascade modelling approach,Staes,ECOSYSTEM SERVICES,2017
Management Practices,1,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Quantification of the potential impact of nature conservation on ecosystem services supply in the Flemish Region: A cascade modelling approach,Staes,ECOSYSTEM SERVICES,2017
Management Practices,1,Management/restoration,Driver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Quantification of the potential impact of nature conservation on ecosystem services supply in the Flemish Region: A cascade modelling approach,Staes,ECOSYSTEM SERVICES,2017
Management Practices,1,Management/restoration,Driver,Human,Human,Food,Food and feed,Quantification of the potential impact of nature conservation on ecosystem services supply in the Flemish Region: A cascade modelling approach,Staes,ECOSYSTEM SERVICES,2017
Management Practices,1,Management/restoration,Driver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Quantification of the potential impact of nature conservation on ecosystem services supply in the Flemish Region: A cascade modelling approach,Staes,ECOSYSTEM SERVICES,2017
Management Practices,1,Management/restoration,Driver,Human,Human,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Quantification of the potential impact of nature conservation on ecosystem services supply in the Flemish Region: A cascade modelling approach,Staes,ECOSYSTEM SERVICES,2017
Management Practices,1,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Quantification of the potential impact of nature conservation on ecosystem services supply in the Flemish Region: A cascade modelling approach,Staes,ECOSYSTEM SERVICES,2017
Management Practices,1,Management/restoration,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Quantification of the potential impact of nature conservation on ecosystem services supply in the Flemish Region: A cascade modelling approach,Staes,ECOSYSTEM SERVICES,2017
Climate,1,Climate,Driver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings,Steinert,ECOSPHERE,2018
Management Practices,2,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings,Steinert,ECOSPHERE,2018
radiation index,3,Index,OtherDriver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings,Steinert,ECOSPHERE,2018
elevation,4,Topography and position,OtherDriver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings,Steinert,ECOSPHERE,2018
Productivity,5,Productivity,OtherDriver,Environmental,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings,Steinert,ECOSPHERE,2018
Canopy density,6,Vegetation cover,OtherDriver,Environmental,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings,Steinert,ECOSPHERE,2018
initial Canopy density,7,Vegetation cover,OtherDriver,Environmental,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings,Steinert,ECOSPHERE,2018
Stems per m2,8,Vegetation cover,OtherDriver,Environmental,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings,Steinert,ECOSPHERE,2018
area of nearest potential habitat,9,Land cover,OtherDriver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings,Steinert,ECOSPHERE,2018
Management Practices,1,Management/restoration,Driver,Human,Human,Food,Food and feed,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Stenchly,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,Food,Food and feed,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Stenchly,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
soil properties (CEC,3,Soil physiochemical characteristics,OtherDriver,Environmental,Environmental,Food,Food and feed,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Stenchly,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
pH,4,Aquatic biogeochemistry,OtherDriver,Environmental,Environmental,Food,Food and feed,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Stenchly,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
organic carbon),5,Soil characteristics,OtherDriver,Environmental,Environmental,Food,Food and feed,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Stenchly,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
management strategies (field size,6,Management/restoration,OtherDriver,Human,Human,Food,Food and feed,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Stenchly,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
N inputs,7,Fertilization,OtherDriver,Human,Human,Food,Food and feed,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Stenchly,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
P inputs,8,Fertilization,OtherDriver,Human,Human,Food,Food and feed,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Stenchly,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
organic fertilizer,9,Fertilization,OtherDriver,Human,Human,Food,Food and feed,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Stenchly,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
intercropping,10,Exploitation/harvest,OtherDriver,Human,Human,Food,Food and feed,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Stenchly,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
chemical pest control); socioeconomics (farmer gender,11,Characteristics of human population,OtherDriver,Human,Human,Food,Food and feed,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Stenchly,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
market orientation,12,Characteristics of human population,OtherDriver,Human,Human,Food,Food and feed,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Stenchly,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
land ownership),13,Land use and land cover change,OtherDriver,Human,Human,Food,Food and feed,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Stenchly,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
Management Practices,1,Management/restoration,Driver,Human,Human,Food,Food and feed,Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services,Sutter,JOURNAL OF APPLIED ECOLOGY,2018
Amount of ecological focus areas,2,Land cover,OtherDriver,Environmental,Environmental,Food,Food and feed,Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services,Sutter,JOURNAL OF APPLIED ECOLOGY,2018
Implementation of greening measures,3,Management/restoration,OtherDriver,Human,Human,Food,Food and feed,Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services,Sutter,JOURNAL OF APPLIED ECOLOGY,2018
Management Practices,1,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services,Sutter,JOURNAL OF APPLIED ECOLOGY,2018
Amount of ecological focus areas,2,Land cover,OtherDriver,Environmental,Environmental,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services,Sutter,JOURNAL OF APPLIED ECOLOGY,2018
Implementation of greening measures,3,Management/restoration,OtherDriver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services,Sutter,JOURNAL OF APPLIED ECOLOGY,2018
Management Practices,1,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services,Sutter,JOURNAL OF APPLIED ECOLOGY,2018
Amount of ecological focus areas,2,Land cover,OtherDriver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services,Sutter,JOURNAL OF APPLIED ECOLOGY,2018
Implementation of greening measures,3,Management/restoration,OtherDriver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services,Sutter,JOURNAL OF APPLIED ECOLOGY,2018
Land use change,1,Land use and land cover change,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Stable nitrogen and carbon isotope ratios in wild native honeybees: the influence of land use and climate,Taki,BIODIVERSITY AND CONSERVATION,2017
Management Practices,1,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Conservation tillage mitigates the negative effect of landscape simplification on biological control,Tamburini,JOURNAL OF APPLIED ECOLOGY,2016
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Conservation tillage mitigates the negative effect of landscape simplification on biological control,Tamburini,JOURNAL OF APPLIED ECOLOGY,2016
% of semi-natural habitats in a 265 m radius,3,Land cover,OtherDriver,Environmental,Environmental,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Conservation tillage mitigates the negative effect of landscape simplification on biological control,Tamburini,JOURNAL OF APPLIED ECOLOGY,2016
abundance of carabid beetles,4,Service provider abundance,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Conservation tillage mitigates the negative effect of landscape simplification on biological control,Tamburini,JOURNAL OF APPLIED ECOLOGY,2016
abundance of cursorial spiders,5,Service provider abundance,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Conservation tillage mitigates the negative effect of landscape simplification on biological control,Tamburini,JOURNAL OF APPLIED ECOLOGY,2016
abundance of vegetation-dwelling predators,6,Service provider abundance,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Conservation tillage mitigates the negative effect of landscape simplification on biological control,Tamburini,JOURNAL OF APPLIED ECOLOGY,2016
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Pollination benefits are maximized at intermediate nutrient levels,Tamburini,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2017
Nitrogen availability,2,Soil characteristics,OtherDriver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Pollination benefits are maximized at intermediate nutrient levels,Tamburini,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2017
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Tarszisz,CONSERVATION PHYSIOLOGY,2018
Exploitation (hunting; fishing),1,Exploitation/harvest,Driver,Human,Human,Food,Food and feed,Mapping social-ecological vulnerability to inform local decision making,Thiault,CONSERVATION BIOLOGY,2018
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,Food,Food and feed,Mapping social-ecological vulnerability to inform local decision making,Thiault,CONSERVATION BIOLOGY,2018
Location of reef (distance from fishing home/shore),3,Topography and position,OtherDriver,Environmental,Environmental,Food,Food and feed,Mapping social-ecological vulnerability to inform local decision making,Thiault,CONSERVATION BIOLOGY,2018
Municipality (this mixes a bit with geographic location),4,Characteristics of locality,OtherDriver,Human,Human,Food,Food and feed,Mapping social-ecological vulnerability to inform local decision making,Thiault,CONSERVATION BIOLOGY,2018
social sensitivity (index),5,Index,OtherDriver,Human,Human,Food,Food and feed,Mapping social-ecological vulnerability to inform local decision making,Thiault,CONSERVATION BIOLOGY,2018
Land use change,1,Land use and land cover change,Driver,Human,Human,Food,Food and feed,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
Management Practices,2,Management/restoration,Driver,Human,Human,Food,Food and feed,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
Landscape types (Homogeneous; Heterogeneous),3,Land cover,OtherDriver,Environmental,Environmental,Food,Food and feed,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
Pesticide use intensity,4,Insecticides/fungicides/pesticides/herbicides,OtherDriver,Human,Human,Food,Food and feed,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
Insecticide spraying,5,Insecticides/fungicides/pesticides/herbicides,OtherDriver,Human,Human,Food,Food and feed,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
herbicide spraying,6,Insecticides/fungicides/pesticides/herbicides,OtherDriver,Human,Human,Food,Food and feed,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
fungicide spraying,7,Insecticides/fungicides/pesticides/herbicides,OtherDriver,Human,Human,Food,Food and feed,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
Density of honeybee hives,8,Service provider density,OtherDriver,Biotic,Biotic,Food,Food and feed,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
Land use change,1,Land use and land cover change,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
Management Practices,2,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
Landscape types (Homogeneous; Heterogeneous),3,Land cover,OtherDriver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
Pesticide use intensity,4,Insecticides/fungicides/pesticides/herbicides,OtherDriver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
Insecticide spraying,5,Insecticides/fungicides/pesticides/herbicides,OtherDriver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
herbicide spraying,6,Insecticides/fungicides/pesticides/herbicides,OtherDriver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
fungicide spraying,7,Insecticides/fungicides/pesticides/herbicides,OtherDriver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
Density of honeybee hives,8,Service provider density,OtherDriver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019
Land use change,1,Land use and land cover change,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],The spatial organization of ecosystem services in river-floodplains,Tomscha,ECOSPHERE,2017
Longitudinal position,2,Topography and position,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],The spatial organization of ecosystem services in river-floodplains,Tomscha,ECOSPHERE,2017
Land use change,1,Land use and land cover change,Driver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",The spatial organization of ecosystem services in river-floodplains,Tomscha,ECOSPHERE,2017
Longitudinal position,2,Topography and position,OtherDriver,Environmental,Environmental,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",The spatial organization of ecosystem services in river-floodplains,Tomscha,ECOSPHERE,2017
Land use change,1,Land use and land cover change,Driver,Human,Human,Food,Food and feed,The spatial organization of ecosystem services in river-floodplains,Tomscha,ECOSPHERE,2017
Longitudinal position,2,Topography and position,OtherDriver,Environmental,Environmental,Food,Food and feed,The spatial organization of ecosystem services in river-floodplains,Tomscha,ECOSPHERE,2017
Land use change,1,Land use and land cover change,Driver,Human,Human,HabCreate,Habitat creation and maintenance,The spatial organization of ecosystem services in river-floodplains,Tomscha,ECOSPHERE,2017
Longitudinal position,2,Topography and position,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,The spatial organization of ecosystem services in river-floodplains,Tomscha,ECOSPHERE,2017
urban form: population density,1,Population growth and density,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Urban form, biodiversity potential and ecosystem services",Tratalos,LANDSCAPE AND URBAN PLANNING,2007
housing density,2,Population growth and density,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Urban form, biodiversity potential and ecosystem services",Tratalos,LANDSCAPE AND URBAN PLANNING,2007
address density,3,Population growth and density,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Urban form, biodiversity potential and ecosystem services",Tratalos,LANDSCAPE AND URBAN PLANNING,2007
urban form: population density,1,Population growth and density,OtherDriver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]","Urban form, biodiversity potential and ecosystem services",Tratalos,LANDSCAPE AND URBAN PLANNING,2007
housing density,2,Population growth and density,OtherDriver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]","Urban form, biodiversity potential and ecosystem services",Tratalos,LANDSCAPE AND URBAN PLANNING,2007
address density,3,Population growth and density,OtherDriver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]","Urban form, biodiversity potential and ecosystem services",Tratalos,LANDSCAPE AND URBAN PLANNING,2007
urban form: population density,1,Population growth and density,OtherDriver,Human,Human,HabCreate,Habitat creation and maintenance,"Urban form, biodiversity potential and ecosystem services",Tratalos,LANDSCAPE AND URBAN PLANNING,2007
housing density,2,Population growth and density,OtherDriver,Human,Human,HabCreate,Habitat creation and maintenance,"Urban form, biodiversity potential and ecosystem services",Tratalos,LANDSCAPE AND URBAN PLANNING,2007
address density,3,Population growth and density,OtherDriver,Human,Human,HabCreate,Habitat creation and maintenance,"Urban form, biodiversity potential and ecosystem services",Tratalos,LANDSCAPE AND URBAN PLANNING,2007
golf course disturbance caused fewer flower visits,1,Human disturbance,OtherDriver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Effects of habitat loss on the plant-flower visitor network structure of a dune community,Traveset,OIKOS,2018
Population growth,1,Population growth and density,Driver,Human,Human,Food,Food and feed,Balancing yield with resilience and conservation objectives in harvested predator-prey communities,Tromeur,OIKOS,2017
Management Practices,2,Management/restoration,Driver,Human,Human,Food,Food and feed,Balancing yield with resilience and conservation objectives in harvested predator-prey communities,Tromeur,OIKOS,2017
Exploitation (hunting; fishing),3,Exploitation/harvest,Driver,Human,Human,Food,Food and feed,Balancing yield with resilience and conservation objectives in harvested predator-prey communities,Tromeur,OIKOS,2017
Service Provider (Q17),4,Service provider identity,Driver,Biotic,Biotic,Food,Food and feed,Balancing yield with resilience and conservation objectives in harvested predator-prey communities,Tromeur,OIKOS,2017
Predator of prey (yield item),5,Pathogens/natural enemies,OtherDriver,Biotic,Biotic,Food,Food and feed,Balancing yield with resilience and conservation objectives in harvested predator-prey communities,Tromeur,OIKOS,2017
Management Practices,1,Management/restoration,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Riparian buffer growth and soil nitrate supply are affected by tree species selection and black plastic mulching,Truax,ECOLOGICAL ENGINEERING,2017
Land use change,1,Land use and land cover change,Driver,Human,Human,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,HabCreate,Habitat creation and maintenance,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019
